1|jiamin|20200421|1002|1|134.50
2|zhoubx|20200308|3001|2|3120.00
3|wangym_bds|20200313|1001|5|335.00
4|zhanggl_bds|20200328|2001|7|90.93
5|dingyong|20200328|1001|1|67.00
6|hujf|20200221|1001|7|469.00
7|pengxl_bds|20200219|3001|3|4680.00
8|lijb_bds|20200326|1001|4|268.00
9|zhanggq_bds|20200313|1002|7|941.50
10|liuzq_bds|20200314|1002|2|269.00
11|xucy_bds|20200212|1002|4|538.00
12|yuxq|20200412|2001|8|103.92
13|yangyj_bds|20200405|1001|5|335.00
14|mahw|20200212|1001|9|603.00
302236|luowc|20200402|3001|2|3120.00
302237|baiyc|20200504|3001|5|7800.00
302238|lihr_bds|20200218|3001|1|1560.00
302239|hujf|20200324|1001|9|603.00
302240|huanggq|20200504|1002|8|1076.00
302241|xiaomin|20200401|2002|4|96.80
302242|tanggc|20200426|1002|7|941.50
302243|dengxl|20200223|1002|9|1210.50
302244|zhaosheng|20200418|1001|9|603.00
302245|pangjie|20200327|2002|1|24.20
302246|xiezb|20200225|1001|4|268.00
302247|tangwen|20200501|2001|9|116.91
302248|wangym_bds|20200410|2002|8|193.60
302249|lvyf_bds|20200319|3001|8|12480.00
302250|lvyou|20200223|1001|2|134.00
302251|caolin_bds|20200228|1001|5|335.00
302252|mengzy|20200307|2001|4|51.96
302253|linzz|20200301|2002|1|24.20
302254|zhangxiu|20200404|2002|4|96.80
302255|chenll_bds|20200331|3001|2|3120.00
302256|zhanghao_bds|20200501|3001|3|4680.00
302257|zhangxiu|20200215|2001|4|51.96
302258|wengsy|20200329|1002|7|941.50
302259|huangzp|20200424|3001|8|12480.00
302260|borh|20200311|1001|6|402.00
302261|wangcc|20200210|2002|7|169.40
302262|yaosy_bds|20200401|1002|2|269.00
302263|xiangcx|20200320|1001|3|201.00
302264|wangyi_bj1|20200217|1001|6|402.00
302265|zhaosheng|20200302|1002|4|538.00
302266|leiyha|20200222|3001|6|9360.00
302267|yangyj_bds|20200218|1002|9|1210.50
302268|liull_bds|20200407|2002|9|217.80
302269|zhunl|20200308|1002|8|1076.00
302270|zhuaa|20200317|2001|3|38.97
302271|dongxue_bds|20200216|1002|9|1210.50
302272|zhanghua_gx|20200422|1002|2|269.00
302273|zhanggl_bds|20200211|1001|8|536.00
302274|yaosy_bds|20200321|2001|4|51.96
302275|hanwei|20200219|2002|7|169.40
302276|xiadc|20200401|2001|9|116.91
302277|shaojm|20200504|1001|1|67.00
302278|zhangzw_tc|20200307|2002|4|96.80
302279|yanglei_bds|20200323|2001|3|38.97
302280|hanjmc|20200222|2001|3|38.97
302281|zhangjl_bds|20200414|2002|8|193.60
302282|zyh_bds_bj|20200309|2002|7|169.40
302283|lejun|20200417|2001|2|25.98
302284|xucy_bds|20200319|2001|7|90.93
302285|kongxiang|20200217|1002|5|672.50
302286|chengyy|20200409|1001|6|402.00
302287|wangjx_bds|20200429|1001|3|201.00
302288|miaoyq|20200302|2002|5|121.00
302289|zhangjy|20200223|2002|3|72.60
302290|liuzq_bds|20200319|1001|9|603.00
302291|zhouyg_bds|20200418|2002|3|72.60
302292|wangcc|20200226|2001|3|38.97
302293|xiaoyz|20200302|1002|2|269.00
302294|zhanggq_bds|20200405|3001|2|3120.00
302295|lihfc|20200504|2001|1|12.99
302296|pangjie|20200324|1002|3|403.50
302297|wangjj_bds|20200426|1002|5|672.50
302298|lichen_bds|20200326|3001|5|7800.00
302299|hujf|20200218|1001|2|134.00
302300|qianxx|20200317|2001|7|90.93
302301|chenhx|20200228|1001|6|402.00
302302|dengcw_bds|20200401|3001|2|3120.00
302303|hanwei|20200221|2002|6|145.20
302304|penggq|20200320|2001|9|116.91
302305|gaoxz|20200317|2002|4|96.80
302306|lixh_bds|20200401|1002|2|269.00
302307|linzz|20200223|1002|8|1076.00
302308|wanglk_bds|20200215|3001|3|4680.00
302309|donghm|20200228|3001|7|10920.00
302310|liangbs|20200209|2002|4|96.80
302311|zhoubx|20200224|1001|4|268.00
302312|hanbb|20200214|2002|3|72.60
302313|zhanghao_bds|20200308|2002|3|72.60
302314|zhanghua_gx|20200301|1002|4|538.00
302315|wangyj|20200317|1001|1|67.00
302316|cuisn_bds|20200325|1002|8|1076.00
302317|jiamin|20200327|2002|1|24.20
302318|zhunl|20200407|2001|4|51.96
302319|shimin|20200324|1001|9|603.00
302320|shixin_bds|20200425|2001|1|12.99
302321|zhanwei|20200317|1001|6|402.00
